rawrrID,rawRR
0,843
1,882
2,914
3,898
4,882
5,882
6,859
7,835
8,945
9,1015
10,1015
11,1015
12,890
13,867
14,835
15,812
16,812
17,812
18,835
19,703
20,1062
21,1093
22,1031
23,1000
24,914
25,882
26,796
27,796
28,835
29,867
30,1023
31,1179
32,1156
33,1171
34,1015
35,945
36,851
37,835
38,867
39,890
40,1117
41,1148
42,1187
43,1140
44,1054
45,968
46,937
47,890
48,906
49,984
50,1187
51,1234
52,1210
53,1140
54,1101
55,968
56,890
57,898
58,906
59,1085
60,1179
61,1203
62,1125
63,1109
64,1000
65,937
66,914
67,898
68,1085
69,1164
70,1156
71,1101
72,1054
73,984
74,953
75,882
76,875
77,906
78,1070
79,1148
80,1148
81,1054
82,1117
83,1000
84,906
85,882
86,867
87,1015
88,1171
89,1156
90,1125
91,1046
92,1000
93,937
94,843
95,843
96,875
97,1031
98,1203
99,1117
100,1093
101,1031
102,1007
103,937
104,929
105,859
106,867
107,1007
108,1085
109,1093
110,1031
111,1023
112,1000
113,945
114,882
115,835
116,843
117,1046
118,1125
119,1125
120,1109
121,1054
122,1015
123,953
124,914
125,867
126,906
127,1070
128,1117
129,1101
130,1023
131,992
132,929
133,859
134,867
135,812
136,882
137,929
138,984
139,992
140,921
141,835
142,828
143,750
144,796
145,757
146,773
147,734
148,859
149,937
150,914
151,960
152,921
153,859
154,851
155,796
156,734
157,742
158,757
159,773
160,898
161,1007
162,1054
163,1046
164,1046
165,1046
166,945
167,882
168,804
169,828
170,906
171,1007
172,1093
173,1078
174,1101
175,1031
176,960
177,882
178,890
179,882
180,1000
181,1117
182,1156
183,1109
184,1085
185,1039
186,921
187,882
188,843
189,898
190,1015
191,1148
192,1140
193,1140
194,1046
195,968
196,867
197,820
198,828
199,859
200,968
201,1023
202,1015
203,1023
204,945
205,976
206,914
207,875
208,851
209,859
210,906
211,906
212,921
213,789
214,835
215,773
216,757
217,726
218,742
219,726
220,757
221,773
222,820
223,851
224,851
225,851
226,882
227,875
228,828
229,851
230,828
231,835
232,789
233,843
234,843
235,851
236,843
237,789
238,812
239,812
240,796
241,796
242,789
243,812
244,757
245,773
246,781
247,765
248,765
249,781
250,789
251,773
252,789
253,796
254,765
255,789
256,757
257,781
258,789
259,773
260,781
261,781
262,781
263,765
264,757
265,765
266,757
267,757
268,734
269,703
270,742
271,703
272,718
273,703
274,703
275,703
276,710
277,703
278,726
279,703
280,710
281,687
282,726
283,718
284,796
285,820
286,820
287,796
288,796
289,781
290,765
291,742
292,718
293,710
294,710
295,757
296,781
297,875
298,968
299,1046
300,1015
301,984
302,929
303,843
304,796
305,765
306,750
307,773
308,812
309,953
310,1039
311,1062
312,1054
313,1000
314,914
315,867
316,820
317,812
318,828
319,875
